Channel Title,Channel Username,ID,Message,Date,Media Path
የጤና ወግ - የጤና መረጃ,@yetenaweg,1181,,2024-10-06 16:26:40+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1180,ተጀምሯል !!,2024-10-06 15:03:40+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1179,,2024-10-06 14:58:28+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1178,,2024-10-04 13:14:17+00:00,photos\@yetenaweg_1178.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1177,,2024-10-04 13:14:17+00:00,photos\@yetenaweg_1177.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1176,,2024-10-04 13:14:16+00:00,photos\@yetenaweg_1176.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1175,"🤱በድህረ ወሊድ ጊዜ ምን ማወቅ አለብዎት??

🌸ቀደምት የድህረ ወሊድ ጊዜ በሴቶች ህይወት ውስጥ ከወሊድ በኋላ በአካል፣ በስሜታዊ እና በስነ ልቦና ለውጦች የሚታወቅ ወሳኝ ምዕራፍ ነው።

💁‍♀ተከታይ አካላዊ ለውጦችን በጥቂቱ:-
   💫 የማሕፀን መኮማተር 
   💫  ደም መፍሰስ እና ሎቺያ  
    💫የድህረ ወሊድ ህመም እና ምቾት ማጣት

🧑‍🔬የሕክምና እርዳታ መቼ ያስፈልጋል?

🌸የአእምሮ ጤናዎን እንዴት ይንከባከቡ?

🌸አዲስ የተወለደ ልጅን ለመንከባከብ  ጤናማ መመርያዎች ምንድናቸው?

🙎‍♀የድህረ ወሊድ እንክብካቤ እና ምርመራ ምን ይመስላል?

💫እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾እዚህ ይጫኑ።

💫የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 እዚህ ይጫኑ።",2024-10-04 13:14:16+00:00,photos\@yetenaweg_1175.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1172,,2024-10-03 05:09:38+00:00,photos\@yetenaweg_1172.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1171,"💡በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት የእንቅልፍ ችግሮች የሚዳስስ ውይይት ይዘን ቀርበናል።

🛌የእንቅልፍ ችግሮች በተለያዩ ምክንያቶች ሊመጡ ይችላሉ ከእነዚህም መካከል: 
👉 ሥር የሰደደ ሕመም
👉 የአእምሮ ጤና ጉዳዮች 
👉 መደበኛ ያልሆነ የእንቅልፍ መርሃ ግብር
👉 አካባቢያዊ ምክንያቶች 
👉 ከእድሜ ጋር የተገናኙ ለውጦች 
👉 መድሃኒቶች እንዲሁም ሌሎችን ያካትታል

🗣እንግዳችን:
👉 ያፌት ከፈለኝ (በአብርሆት የስነዓዕምሮ ህክምና ተቋም የስነ አዕምሮ አማካሪ )

🗓እሁድ መስከረም 26 2017

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

⚡️ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

⚡️የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh",2024-10-03 05:09:38+00:00,photos\@yetenaweg_1171.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1170,,2024-10-02 10:33:05+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1169,"⭐️ቲቢ(ቱበርኩሎሲስ) ምንድን ነው?

💫ሳንባ ነቀርሳ (ቲቢ)በባክቴሪያ የሚከሰት ተላላፊ በሽታ ሲሆን ብዙውን ጊዜ ሳንባን ያጠቃል::

⭐️የቲቢ ምልክቶች  በጥቂቱ የሚከተሉትን ያካትታሉ:
• ረዘም ላለ ጊዜ ሳል (አንዳንድ ጊዜ ደም የቀላቀለ አክታ)
• የደረት ህመም
• ድካም
• ክብደት መቀነስ
• ትኩሳት
• የምሽት ላብ እና
• የምግብ ፍላጎት መቀነስ፡

⭐️ለበሽታው ተጋላጭ የሚያደርጉ ሁኔታዎች ምንድናቸው?

💊ህክምናው ምን ይመስላል?

⭐️የበሽታው መከላከያ መንገዶች ምን ምን ናቸው?

🌟እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾እዚህ ይጫኑ።

🌟የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 እዚህ ይጫኑ።",2024-10-02 07:04:03+00:00,photos\@yetenaweg_1169.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1168,,2024-09-25 06:38:30+00:00,photos\@yetenaweg_1168.jpg
የጤና ወግ - የጤና መረጃ,@yetenaweg,1167,,2024-09-25 06:38:30+00:00,photos\@yetenaweg_1167.jpg
